date,Q,P,PET,T
1981-01-01,0,0.03,10.63,23.85
1981-01-02,0,0,10.33,23.41
1981-01-03,0,0,10.23,23.37
1981-01-04,0,1.4,9.92,23.56
1981-01-05,0,5.95,7.13,22.36
1981-01-06,0,1.7,8.08,22.64
1981-01-07,0,1.75,7.79,22.32
1981-01-08,0,0,9.14,23.52
1981-01-09,0,0.49,8.18,22.37
1981-01-10,0,0.43,8.24,22.9
1981-01-11,0,0,10.09,23.75
1981-01-12,0,0,10.03,23.11
1981-01-13,0,0,9.79,22.44
1981-01-14,0,0,10.5,23.25
1981-01-15,0,0,9.85,25.04
1981-01-16,0,0,9.57,24.86
1981-01-17,0,0,8.71,25.07
1981-01-18,0,0,9.89,26.05
1981-01-19,0,0,10.21,24.95
1981-01-20,0,0,10.3,24.75
1981-01-21,0,0.12,9.65,24.62
1981-01-22,0,0.29,8.67,23.74
1981-01-23,0,0.04,9.11,22.23
1981-01-24,0,0,9.33,21.02
1981-01-25,0,0,9.15,20.18
1981-01-26,0,0,9.44,21.68
1981-01-27,0,0,9.76,22.74
1981-01-28,0,0,9.76,22.77
1981-01-29,0,0,9.1,21.03
1981-01-30,0,0.04,8.7,21.91
1981-01-31,0,0.02,9.15,24.03
1981-02-01,0,0.01,10.7,25.68
1981-02-02,0,0,10.61,25.52
1981-02-03,0,0,8.96,24.08
1981-02-04,0,0,9.45,24.62
1981-02-05,0,0.95,10.68,25.11
1981-02-06,0,5.61,8.28,23.99
1981-02-07,0,15.7,5.83,21.06
1981-02-08,0,0.74,7.31,21.01
1981-02-09,0,0.1,6.83,18.94
1981-02-10,0,0.26,7.07,20.23
1981-02-11,0,0.17,7.16,22.28
1981-02-12,0,0,8.19,23.92
1981-02-13,0,0.13,8.01,24.66
1981-02-14,0,0.01,8.94,24.8
1981-02-15,0,0,9.62,25.39
1981-02-16,0,0,9.3,24.46
1981-02-17,0,0.03,8.52,23.51
1981-02-18,0,0.16,7.94,23.88
1981-02-19,0,0.05,8.08,24.45
1981-02-20,0,0.22,8.82,25.54
1981-02-21,0,0.72,8.5,25.41
1981-02-22,0,0.16,8.3,24.28
1981-02-23,0,0.01,9.2,23.62
1981-02-24,0,0,8.67,23.05
1981-02-25,0,0,8.77,23.34
