MA2,DH5,DL18,FH3,RA1,RA3,CR1,TA2
1.315,4.093336601,0,48.08333333,0.810224961,-0.31164218,0.360240899,0.342216277
0.89,4.421039216,0,70.19444444,1.269066667,-0.486604187,0.352645647,0.473486359
0.99,4.548561905,0,67.30555556,1.301965787,-0.549758726,0.381547089,0.436725211
1.09,5.012695238,0,62.30555556,1.403561835,-0.612199439,0.440260658,0.409332981
1.21,5.659974603,0,61.75,2.645239394,-1.040371916,0.48810304,0.38460982
0.995,4.734177778,0,63.61111111,1.863610789,-0.776959729,0.442845137,0.439601169
0.94,3.90464127,0,59.66666667,1.15606745,-0.469558302,0.307087107,0.446402937
0.9,3.602232026,0,57.05555556,0.811746821,-0.369039839,0.317207109,0.465759849
1.09,4.118513072,0,54.05555556,1.195739408,-0.56007988,0.399934244,0.38953745
1.36,4.700732026,0,47.88888889,1.451722955,-0.685612614,0.438118587,0.332977206
1.2,4.581767974,0,53.66666667,1.5675625,-0.662322565,0.397658544,0.359521254
1.14,4.239199346,0,51.33333333,1.5563639,-0.649059664,0.355804943,0.371639367
1.73,4.862353535,0,36.61111111,1.779753868,-0.624373998,0.423167241,0.275583455
1.35,3.711405229,0,39.66666667,0.812875326,-0.2960551,0.311934527,0.304198143
1.18,3.281796825,0,35.86111111,1.00179711,-0.410344062,0.310090923,0.350377849
0.81,3.140161905,0,65.02777778,1.018819572,-0.404196602,0.325225769,0.481751948
0.89,3.122498413,0,56.66666667,0.898309943,-0.363540433,0.312038461,0.457564321
0.87,3.205996825,0,56.63888889,0.773127548,-0.333750472,0.297870996,0.459616357
0.88,3.346045752,0,54.02777778,1.146449856,-0.421054057,0.317726319,0.447539619
0.5,2.122195286,0,54.36111111,0.715769645,-0.263450872,0.188398449,0.804584866
0.6,2.501188552,0,56.27777778,0.737117976,-0.298716207,0.226354012,0.686197557
0.73,1.958740741,6.194444444,32.75,0.313399831,-0.158876068,0.158450045,0.699414029
0.51,2.076761438,0,56.11111111,0.704066784,-0.259872859,0.194377841,0.797125342
0.39,2.195292063,0,72.58333333,0.989784722,-0.392300069,0.218884536,0.812573593
0.53,2.22784127,0,58.61111111,0.709547855,-0.280975163,0.217725736,0.749836803
0.54,2.365464052,0,59.91666667,0.932028986,-0.373951368,0.235674321,0.689651618
0.53,2.574637255,0,72.22222222,0.776756285,-0.290127804,0.242712611,0.68166678
0.51,2.399957516,0,64.88888889,0.801642661,-0.313952458,0.219524895,0.722260548
0.34,1.790828571,4.055555556,68.97222222,0.765295276,-0.327018233,0.170858186,0.670755043
1.13,2.82330719,0,27.08333333,1.095018146,-0.427392144,0.265604533,0.317206544
0.97,2.008990196,0,18.63888889,0.700174259,-0.288938935,0.21830445,0.407083036
0.86,2.102161905,0,23.94444444,0.900739529,-0.35939018,0.222993396,0.517395339
2.24,4.472166667,0,16.16666667,1.064498237,-0.374968369,0.386485322,0.195967856
2.24,4.527484848,0,15.66666667,1.251094941,-0.421440579,0.413329922,0.222171365
0.21,1.748908497,20.66666667,75.27777778,1.058161089,-0.436017578,0.165439924,0.672410546
0.39,3.846669935,0,111.0833333,0.915393103,-0.378546984,0.232464985,0.562553339
0.97,2.429866013,0,28.5,0.595462748,-0.304704485,0.229833723,0.43008431
0.48,3.852073016,0,90.11111111,2.148344972,-0.788969852,0.302886422,0.593121594
0.49,2.935078431,0,70.58333333,1.225185659,-0.501129877,0.260533994,0.655420674
0.57,3.347117647,0,69.19444444,1.905116564,-0.838897744,0.318430997,0.578693019
0.88,3.541222222,0,61.38888889,0.749398108,-0.325723717,0.274587086,0.440647166
0.59,4.024457516,0,81.16666667,2.152352015,-0.859642857,0.370876623,0.513702043
0.83,2.964702614,0,56.47222222,0.737091672,-0.279548292,0.300260186,0.49723303
1.24,3.53104902,0,41.16666667,1.106277847,-0.441332099,0.373683046,0.33684567
1.11,4.403578431,0,60.58333333,2.084161627,-0.943910608,0.464485576,0.383700208
1.2,3.676035948,0,47.27777778,1.097019868,-0.417385723,0.384035144,0.346564275
1.12,3.945299663,0,53.05555556,1.466537886,-0.605843851,0.403844105,0.397062145
0.32,2.336022876,9,83.41666667,1.357333777,-0.581598291,0.234659165,0.800277134
1.07,3.99937037,0.166666667,54.83333333,1.323916271,-0.565773915,0.395072743,0.422777249
0.78,3.358289562,0,61.5,1.222994636,-0.539952638,0.325467214,0.512965315
1.405,4.69943771,0.083333333,55.86111111,2.033664969,-0.832698491,0.475708971,0.329823953
0.51,2.889272727,0.638888889,70.55555556,1.374141221,-0.576286515,0.276289498,0.643179593
2.46,5.082588235,0,17.02777778,1.442428571,-0.505647621,0.472961028,0.21604478
1.74,4.510163399,0,28.11111111,1.466440505,-0.49889572,0.433368141,0.258077492
