gauge_id,p_mean,pet_mean,aridity,frac_snow,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,cly_pc_sav,slt_pc_sav,snd_pc_sav,lit_cl_smj,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,ele_mt_sav,ele_mt_smn,ele_mt_smx,slp_dg_sav,sgr_dk_sav,area,Class
camels_01022500,3.20371277979328,14.5439544116641,4.53971857383623,0.335420982912543,-0.716116106572937,0.458510482872122,0.0566773906495995,1.08376963350785,0.638784311041139,3.23802914642609,7.31342601291856,32.3330709927946,60.3640926321834,9,0,37.5623917038688,0,0,0,59.2036499088331,0,0,0.322145540795161,0,0.0120482877185375,0,0,0,0.024096575437075,0,0,0,3.13201283616096,0,103.274219173229,41.6303319611743,328.69814638461,22.5059662516176,36.9669941313042,619.10259540305,5
camels_01031500,3.28914710110204,12.9839783694983,3.94752133923957,0.30629442418033,-0.646695301720386,0.669231330289813,0.053802450544185,1.09318497913769,0.623656650010268,3.14932595921189,8.46035999089587,34.5772935797631,56.8099779135812,9,0,69.1255731005014,0,0,0,28.8861324142664,0,0,0,0,0,0,0,0,0,0,0,0,1.60102299188789,0,303.634478664468,147.185338342423,600.649750610734,38.9041819696929,81.9166467069539,764.824148784767,4
camels_01047000,3.27569580395647,12.1030138955439,3.69479176940836,0.299082256147178,-0.627902654065904,0.680412961942218,0.0525018824012595,1.10043041606887,0.626257786296119,3.23973087818697,8.04063392331334,33.9255520480336,58.2573182262197,8,0,83.9222472144394,0,0,0,15.0837406304393,0,0,0,0,0,0,0,0,0,0,0,0,1.21751635268791,0,378.958111145621,141.82281806344,947.364304524924,67.1594170520933,143.513054573985,902.895075916119,4
camels_01052500,3.40199329180641,10.6431754397974,3.1285115892001,0.368391131575663,-0.538691622730816,0.922740904596691,0.0406598672051475,1.07803992740472,0.519748100486002,2.51590457256461,8,36.9856704087759,56,8,0,63.3017939367644,0,0,0,36.5978989246669,0,0,0,0,0,0,0,0,0,0,0,0,0.100307138568698,0,644.379447410089,412.54437981701,1037.03637970113,88.9931293570733,148.538962605177,395.444910216614,4
camels_01054200,3.66423574508862,10.9996064070093,3.00188284057671,0.374281434399446,-0.544831220113607,0.838257770454382,0.0501060989800807,1.10407239819005,0.588609761106167,2.93882433356118,8,35,57,8,0,83,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,626,217,1377,124,394,180.835782586386,4
camels_01055000,3.17765076322813,11.8245184475323,3.72115104163301,0.387008036638492,-0.626240834177835,0.68047142395826,0.0505168047094257,1.08849557522124,0.618522828393456,3.12664359861592,8,35.3268523344607,56.3268523344607,9,0,80.5370466892133,0,0,0,17.4629533107867,0,0,0,0,0,0,0,0,0.673147665539336,0,0,0,0,0,548.306359381452,247.435103141687,1022.58223994215,88.6148186756853,266.224908786934,250.426116562828,4
camels_01057000,3.26937435827229,13.216641796153,4.04255993588246,0.310304599357244,-0.671291353701952,0.559473468327101,0.0565404887398179,1.10427807486631,0.64556095557533,3.38392536777897,9,34,57.7483667392715,9,0,87.993466957086,0,0,0,12.006533042914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.385671749005,130.444469135231,659.571974580593,67.2124350032444,112.509799564371,197.428263567453,4
camels_01078000,3.12826339927442,13.7006085289888,4.37962114448757,0.30752877525376,-0.711017088572724,0.455016571042789,0.0564035868300362,1.11051212938005,0.634471900883017,3.2602884277172,7,34,58,9,0,75,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,114,858,68,107,221.561285121519,4
camels_01134500,3.19985351495653,11.5744342528578,3.61717628596353,0.286639931478709,-0.619049566200307,0.71669296981498,0.0431925525361078,1.0916955017301,0.551920049284688,2.69846050870147,7.13470758376504,35,57.865292416235,9,0,73.1299132279828,0,0,0,25.8700867720172,0,0,0,0,0,0,0,0,0,0,0,0,0.134707583765043,0,527.042663846298,323.234418343708,973.576699825576,72.7305848324699,145.725790476688,209.095339391235,5
camels_01137500,3.61863919501676,10.9999869943186,3.03981314563406,0.370970816617454,-0.520898676043298,0.960045505009429,0.0449038264083783,1.08072487644152,0.541104798411938,2.63763763763764,6.0882094762121,34,59.9117905237879,8,0,3.41135161939358,0,0,0,93.235810475758,0,0,0.911790523787901,0,0.911790523787901,0,0,0,0,0,0.176418952424198,0,1.0882094762121,0,739.598304277281,390.35810475758,1725.70582554684,107.236688284547,294.064658376066,237.807408812273,5
